cod;nombre;categoria;tipo;stock;costo_unit;valor_inventario;ult_material;ult_produccion;ult_compra;nunca_usado;accion_sugerida
280;BATA DESECHABLE POLIPROPILENO X UNIDAD;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;10,00;5090,00;50900,00;;;;SI;REVISAR — tiene stock
224;CABUYA TAMBOR X 25METROS;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;0,00;3000,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
281;GORRO DESECHABLE BLANCO X 100 UNIDADS;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;1,00;19300,00;19300,00;;;;SI;REVISAR — tiene stock
282;GUANTES DE NITRILO TALLA M CAJA X 50 PARES;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;1,00;33000,00;33000,00;;;;SI;REVISAR — tiene stock
260;PAPEL PARAFINADO ROLLO X 100M EMPAQUES Y DESECHABLES LA MAYORISTA;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;0,00;20000,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
257;PLATO CANOA BAMBÚ 10CMS 25uds SIGMAPLAST;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;0,00;22400,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
258;ROLLO EXTENSIBLE PLASTICO ALIMENTOS RAP 300M;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;0,00;16500,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
259;TOALLA DE PAPEL PARA COCINA x 3 Rollos;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;0,00;11000,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
340;VINAGRE / ACIDO ACETICO X 3 LITROS / MINORISTA (LIMPIEZA Y DESINFECCION);T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;0,00;4800,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
59;DESCASCARILLADO CF CACAO;T09.01. SERVICIOS MAQUILA;Servicio;0,00;2000,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
177;ENMOLDADO DE CHOCOLATE X KG;T09.01. SERVICIOS MAQUILA;Servicio;0,00;5000,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
176;MAQUILA OBTENCION DE NIBS DE CACAO X KG;T09.01. SERVICIOS MAQUILA;Servicio;0,00;4845,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
94;PROCESO MOLDEADO CHOCOLATE DE MESA;T09.01. SERVICIOS MAQUILA;Servicio;0,00;3000,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
57;REFINADO CACAO 24H;T09.01. SERVICIOS MAQUILA;Servicio;0,00;7000,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
56;REFINADO CF CACAO 12H;T09.01. SERVICIOS MAQUILA;Servicio;0,00;5000,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
58;TOSTADO CF CACAO;T09.01. SERVICIOS MAQUILA;Servicio;0,00;2000,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
150;MANO DE OBRA OS GENERAL;T09.02. SERVICIOS M.O.;Servicio;0,00;1,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
117;PROCESO EMPACADO CHOCOLATE;T09.02. SERVICIOS M.O.;Servicio;0,00;800,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
161;Domicilio;T09.06. SERVICIOS LOGISTICA;Servicio;0,00;8000,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
236;Flete Mercadolibre;T09.06. SERVICIOS LOGISTICA;Servicio;0,00;9100,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
166;Comision bold;T09.10. SERVICIOS GENERALES;Servicio;0,00;1,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
216;ABAS TOSTADAS X KG;T999. PRODUCTOS QUE NO SE USAN;Materia prima;0,00;33000,00;0,00;;;;SI;ANULAR EN EFFI (ya etiquetado como no usado)
112;ACEITE DE MANI THAI 1 LT BEST CHOICE;T999. PRODUCTOS QUE NO SE USAN;Materia prima;0,00;73500,00;0,00;;;;SI;ANULAR EN EFFI (ya etiquetado como no usado)
219;AJONJOLÍ TOSTADO X GRAMO;T999. PRODUCTOS QUE NO SE USAN;Materia prima;0,00;26,00;0,00;;;;SI;ANULAR EN EFFI (ya etiquetado como no usado)
4;Articulo 1Y;T999. PRODUCTOS QUE NO SE USAN;Producto en proceso;0,00;700,00;0,00;;;;SI;ANULAR EN EFFI (ya etiquetado como no usado)
220;BANANO DESHIDRATADO X GRAMO;T999. PRODUCTOS QUE NO SE USAN;Materia prima;0,00;137,00;0,00;;;;SI;ANULAR EN EFFI (ya etiquetado como no usado)
255;BOLSA DE PAPEL ANTIGRASA 2LB X 100UDS;T999. PRODUCTOS QUE NO SE USAN;Materia prima;0,00;12353,00;0,00;;;;SI;ANULAR EN EFFI (ya etiquetado como no usado)
359;CASCARILLA DE CACAO SF x KL;T999. PRODUCTOS QUE NO SE USAN;Producto en proceso;0,00;4500,00;0,00;;;;SI;ANULAR EN EFFI (ya etiquetado como no usado)
